2023-08-08 18:31:07,069 INFO - Имя файла/каталога: .git, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,070 INFO - Имя файла/каталога: file, расширение: .log, директория: False, имя директории: HW_Python
2023-08-08 18:31:07,071 INFO - Имя файла/каталога: HW_1, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,071 INFO - Имя файла/каталога: HW_10, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,071 INFO - Имя файла/каталога: HW_11, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,072 INFO - Имя файла/каталога: HW_12, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,072 INFO - Имя файла/каталога: HW_13, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,072 INFO - Имя файла/каталога: HW_14, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,072 INFO - Имя файла/каталога: HW_15, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,073 INFO - Имя файла/каталога: HW_2, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,073 INFO - Имя файла/каталога: HW_3, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,073 INFO - Имя файла/каталога: HW_4, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,073 INFO - Имя файла/каталога: HW_5, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,074 INFO - Имя файла/каталога: HW_6, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,074 INFO - Имя файла/каталога: HW_7, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,074 INFO - Имя файла/каталога: HW_8, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,074 INFO - Имя файла/каталога: HW_9, расширение: каталог не имеет расширения, директория: True, имя директории: HW_Python
2023-08-08 18:31:07,075 INFO - Имя файла/каталога: lessons, расширение: .csv, директория: False, имя директории: HW_Python
2023-08-08 18:31:07,075 INFO - Имя файла/каталога: README, расширение: .md, директория: False, имя директории: HW_Python
2023-08-08 18:31:07,075 INFO - Имя файла/каталога: Task1, расширение: .py, директория: False, имя директории: HW_Python
